CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,InitialDateReported,MostRecentDateReported,DiscontinuedDate,ChemicalCreatedAt,ChemicalUpdatedAt,ChemicalDateRemoved,ChemicalCount
2,"ULTRA COLOR RICH EXTRA PLUMP LIPSTICK-ALL SHADES",,"",4,"New Avon LLC","AVON",44,"Makeup Products (non-permanent)",53,"Lip Color - Lipsticks, Liners, and Pencils",656,"13463-67-7",6,"Titanium dioxide","06/17/2009","08/28/2013","02/01/2011","07/09/2009","07/09/2009","",1
3,"Glover's Medicated Shampoo",,"",338,"J. Strickland & Co.","Glover's",18,"Hair Care Products (non-coloring)",25,"Hair Shampoos (making a cosmetic claim) ",889,"65996-92-1",4,"Distillates (coal tar)","07/01/2009","07/01/2009","","07/01/2009","07/01/2009","",2
3,"Glover's Medicated Shampoo",,"",338,"J. Strickland & Co.","Glover's",18,"Hair Care Products (non-coloring)",25,"Hair Shampoos (making a cosmetic claim) ",293,"140-67-0",5,"Estragole","07/01/2009","07/01/2009","","07/02/2009","07/02/2009","",2
4,"PRECISION GLIMMER EYE LINER-ALL SHADES",,"",4,"New Avon LLC","AVON",44,"Makeup Products (non-permanent)",46,"Eyeliner/Eyebrow Pencils",656,"13463-67-7",7,"Titanium dioxide","07/09/2009","08/28/2013","","07/09/2009","07/09/2009","",1
5,"AVON BRILLIANT SHINE LIP GLOSS-ALL SHADES",,"",4,"New Avon LLC","AVON",44,"Makeup Products (non-permanent)",52,"Lip Gloss/Shine",656,"13463-67-7",8,"Titanium dioxide","07/09/2009","08/28/2013","02/01/2011","07/09/2009","07/09/2009","",1
6,"JILLIAN DEMPSEY FOR AVON CELESTIAL EYESHADOW-ALL SHADES",,"",4,"New Avon LLC","AVON",44,"Makeup Products (non-permanent)",48,"Eye Shadow",656,"13463-67-7",9,"Titanium dioxide","07/09/2009","08/28/2013","11/01/2010","07/09/2009","07/09/2009","",1
7,"ABSOLUTE Precision Color Powder System - All Shades",310,"5858-81-1",11,"OPI PRODUCTS INC.","OPI",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",12178,"Titanium dioxide","07/13/2009","12/30/2010","","12/04/2009","12/04/2009","",1
7,"ABSOLUTE Precision Color Powder System - All Shades",311,"D&C RED 7 CALCIUM LAKE",11,"OPI PRODUCTS INC.","OPI",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",12178,"Titanium dioxide","07/13/2009","12/30/2010","","12/04/2009","12/04/2009","",1
7,"ABSOLUTE Precision Color Powder System - All Shades",312,"D&C RED 28",11,"OPI PRODUCTS INC.","OPI",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",12178,"Titanium dioxide","07/13/2009","12/30/2010","","12/04/2009","12/04/2009","",1
8,"ABSOLUTE Precision Color Powder System Opaque Pink",313,"D&C RED 7 CALCIUM LAKE",11,"OPI PRODUCTS INC.","ABSOLUTE",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17903,"Titanium dioxide","07/13/2009","12/30/2010","","06/09/2010","06/09/2010","",1
9,"ABSOLUTE Precesion Color Powder System Perfect White",,"",11,"OPI PRODUCTS INC.","ABSOLUTE",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17909,"Titanium dioxide","07/13/2009","06/09/2010","","06/09/2010","06/09/2010","",1
10,"ABSOLUTE Precision Color Powder System Translucent Pink",314,"D&C RED 28",11,"OPI PRODUCTS INC.","ABSOLUTE",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17911,"Titanium dioxide","07/13/2009","12/30/2010","","06/09/2010","06/09/2010","",1
12,"ABSOLUTE FX Chromatones Precision Color Powders",315,"D&C RED 22",11,"OPI PRODUCTS INC.","OPI",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17917,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
12,"ABSOLUTE FX Chromatones Precision Color Powders",316,"RED IRON OXIDE",11,"OPI PRODUCTS INC.","OPI",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17917,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
13,"BlueFX",317,"ULTRAMARINE BLUE",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17918,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
13,"BlueFX",318,"MICA",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17918,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
13,"BlueFX",319,"FERRIC FERROCYANIDE",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17918,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
14,"GreenFX",320,"D&C YELLOW 10",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17960,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
14,"GreenFX",321,"FERRIC FERROCYANIDE",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17960,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
14,"GreenFX",322,"MICA",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17960,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
14,"GreenFX",323,"FD&C YELLOW 6",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17960,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
15,"I'm not Really a Waitress",324,"D&C RED 7 CALCIUM LAKE",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17961,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
15,"I'm not Really a Waitress",325,"MICA",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17961,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
15,"I'm not Really a Waitress",326,"D&C RED 34 ALUMINUM LAKE",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17961,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
15,"I'm not Really a Waitress",327,"BLACK IRON OXIDE",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17961,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
16,"Kyoto Pearl",328,"MICA",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17963,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
