CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,InitialDateReported,MostRecentDateReported,DiscontinuedDate,ChemicalCreatedAt,ChemicalUpdatedAt,ChemicalDateRemoved,ChemicalCount,﻿Label,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
5391.0,NARS Blush Duo,9763.0,Hungry Heart,127.0,"Shiseido America, Inc.",NARS,44.0,Makeup Products (non-permanent),45.0,Blushes ,92.0,25013-16-5,9317.0,Butylated hydroxyanisole,10/15/2009,09/11/2014,01/01/2014,10/15/2009,10/26/2015,,1.0,Cleanser,Gentle Oil-Free Eye Makeup Remover,25.0,4.3,"Water, Methyl Trimethicone, Isopropyl Isostearate, Butylene Glycol, Glycerin, Propanediol, Sodium Chloride, Phenoxyethanol, Hexylene Glycol, Poloxamer 123, Ethylhexylglycerin, Peg-32, Benzophenone-5, Peg-6, Trisodium Edta, Cucumis Sativus [Cucumis Sativus (Cucumber) Fruit Extract], Chamomilla Recutita [Chamomilla Recutita (Matricaria) Flower Extract], Sodium Hyaluronate, Ci 42090 (Blue 1), Ci 19140 (Yellow 5).",0.0,0.0,0.0,0.0,0.0
5742.0,"SUCCESS AGE SPLENDID - DEEP-ACTION NIGHT CARE - ANTI-SLACKENING, RESTRUCTURING",,,298.0,GUERLAIN,GUERLAIN,90.0,Skin Care Products ,97.0,Nighttime Skin Care,656.0,13463-67-7,9646.0,Titanium dioxide,10/16/2009,01/16/2017,08/30/2012,10/16/2009,10/16/2009,,1.0,Moisturizer,Midnight Secret Late Night Recovery Treatment,29.0,4.2,Visit the Guerlain boutique,1.0,1.0,1.0,1.0,1.0
6916.0,AQUA CREAM Fard Cr�me Waterproof / Waterproof Cream Color (all shades),,,345.0,MAKE UP FOR EVER,MAKE UP FOR EVER,44.0,Makeup Products (non-permanent),45.0,Blushes ,656.0,13463-67-7,10921.0,Titanium dioxide,11/12/2009,11/12/2009,,11/12/2009,11/12/2009,,2.0,Moisturizer,Mist & Fix Setting Spray,30.0,4.2,Visit the MAKE UP FOR EVER boutique,0.0,0.0,0.0,0.0,0.0
8458.0,FACE POLISH,,,377.0,GURWITCH PRODUCTS,LAURA MERCIER,90.0,Skin Care Products ,93.0,Skin Cleansers,656.0,13463-67-7,13265.0,Titanium dioxide,12/14/2009,12/14/2009,,12/14/2009,12/14/2009,,1.0,Cleanser,Flawless Skin Face Polish,32.0,4.7,"Aqua (Water), Polyethylene, Butylene Glycol, Glyercyl Stearate SE, Stearic Acid, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil, Sodium C12-15 Pareth-15 Sulfonate, Cetyl Alcohol, PEG-2 Cocamide, Cetearyl Alcohol, Triethanolamine, Jojoba Esters, Macadamia Integrifolia Seed Oil, Polyquaternium-39, Sodium Lauryl Sulfate, Phenoxyethanol, Ceteareth-20, Methylparaben, Carbomer, Titanium Dioxide, Parfum (Fragrance), Avena Sativa Kernel Flour (Oat) Kernel Flour, Disodium EDTA, Ethylparaben, Butylparaben, Propylene Glycol, Propylparaben, Isobutylparaben, Rosa Canina Flower Extract, Salvia Officinalis Leaf Extract (Sage) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Urtica Dioica (Nettle) Extract, Methylisothiazolinone, Methylchloroisothiazolinone, Magnesium Nitrate, Magnesium Chloride, Linalool, Geraniol Alpha-Isomethyl Ionone, Citronellol, Benzyl Benzoate, Benzyl Alcohol, Isoeugenol, Benzyl Salicylate, Limonene, CI 14700 (Red 4), CI 19140 (Yellow 5), CI 15985 (Yellow 6).",0.0,0.0,0.0,0.0,0.0
10261.0,COTTON FLOWER - PALETTE TEINT / FACE PALETTE,,,22.0,CLARINS S.A.,CLARINS,44.0,Makeup Products (non-permanent),49.0,Face Powders,656.0,13463-67-7,15284.0,Titanium dioxide,02/18/2010,02/18/2010,,02/18/2010,02/18/2010,,1.0,Moisturizer,Multi-Active Night Cream - Normal to Combination Skin,57.0,4.2,"Water, Glycerin, Isononyl Isononanoate, Caprylic/Capric Triglyceride, Butyro - Spermum Parkii (Shea) Butter, Cetearyl Alcohol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Propanediol, Glyceryl Stearate, Peg-100 Stearate, Fragrance, Cetearyl Glucoside, Dimethicone, Methyl Methacrylate Crosspolymer, Dipsacus Sylvestris Extract, Caprylyl Glycol, Ethylhexylglycerin, Tocopheryl Acetate, Cellulose, Disodium Edta, Sodium Hyaluronate, Alcohol, Eschscholtzia Californica Flower/Leaf/Stem Extract, Actinidia Chinensis (Kiwi) Fruit Extract, Butylene Glycol, Diospyros Mespili - Formis Leaf Extract, Maltodextrin, Tetrasodium Edta, Sanicula Europaea Extract, Phenoxyethanol, Lapsana Communis Flower/Leaf/Stem Extract, Furcellaria Lumbricalis Extract, Sodium Citrate, Potassium Sorbate, Citric Acid, Glycolic Acid, Lactic Acid, Maris Sal/Sea Salt/Sel Marin, Polyvinyl Alcohol, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate.",1.0,0.0,1.0,1.0,0.0
12319.0,EYELINER VERT RAMAGES FLEUR CHERIE,,,244.0,LABORATOIRES M&L SA (L'Occitane - Melvita),L'OCCITANE,44.0,Makeup Products (non-permanent),46.0,Eyeliner/Eyebrow Pencils,656.0,13463-67-7,23695.0,Titanium dioxide,06/14/2010,10/05/2010,,10/05/2010,10/05/2010,,1.0,Moisturizer,Immortelle Divine Cream,110.0,3.9,"Water**, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride**, Glycerin**, Oenothera Biennis (Evening Primrose) Oil*, Dimethicone, Cetearyl Alcohol**, Tapioca Starch**, Ascorbyl Glucoside**, Glyceryl Stearate, Camelina Sativa Seed Oil**, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetyl Alcohol**, Helichrysum Italicum Flower Oil*, Myrtus Communis Oil*, Borago Officinalis Seed Oil*, Helichrysum Italicum Extract*, Echium Plantagineum Seed Oil**, Menyanthes Trifoliata Leaf Extract**, Bellis Perennis (Daisy) Flower Extract**, Helianthus Annuus (Sunflower) Seed Oil**, Rosmarinus Officinalis (Rosemary) Leaf Extract**, Mel/Honey**, Polysorbate 60**, Sodium Hyaluronate**, Sodium Citrate**, Palmitic Acid**, Cetyl Palmitate**, Cetearyl Glucoside**, Stearic Acid, Glyceryl Linoleate, Sucrose Palmitate, Sorbitan Isostearate, Copper Gluconate, Magnesium Aspartate, Peg-100 Stearate, Disodium Edta, Ethylhexylglycerin, Phenoxyethanol, Chlorphenesin, Potassium Sorbate, Sodium Benzoate, Tocopheryl Acetate, Zinc Gluconate, Tocopherol, Parfum/Fragrance, Linalool, Benzyl Salicylate, Limonene, Geraniol, Citral.",0.0,0.0,0.0,0.0,0.0
14374.0,PERFECT ROUGE,20031.0,BE109,127.0,"Shiseido America, Inc.",SHISEIDO,44.0,Makeup Products (non-permanent),53.0,"Lip Color - Lipsticks, Liners, and Pencils",656.0,13463-67-7,22023.0,Titanium dioxide,06/30/2010,09/11/2014,01/01/2014,06/30/2010,08/05/2014,,1.0,Moisturizer,Bio-Performance Advanced Super Revitalizing Cream,78.0,4.6,"Water, Glycerin, Cyclomethicone, Butylene Glycol, Dimethicone, Cetyl Octanoate, Squalane, Dimethicone Copolyol, Disteardimonium Hectorite, Hydrogenated C6-14 Olefin Polymers, PEG-150, Mortierella Oil, Phytosteryl Macadamiate, Tocopheryl Acetate, Stearyl Glycyrrhetinate, Arginine HCI, PEG-60 Hydrogenated Castor Oil, Sodium Glutamate, Disodium Adenosine Triphosphate, Saccharomyces Lysate Extract, Sodium Acetylated Hyaluronate, Rosa Roxburghii Extract, Octyl Methoxycinnamate, Agar, Sodium Hexametaphosphate, Trisodium EDTA, Tocopherol, BHT, Ethylparaben, Butylparaben, Methylparaben, Fragrance, Iron Oxides.",0.0,0.0,0.0,0.0,0.0
16056.0,SK-II Skin Signature Melting Rich Cream,,,86.0,The Procter & Gamble Company,SK-II,90.0,Skin Care Products ,102.0,Skin Moisturizers (making a cosmetic claim),656.0,13463-67-7,24486.0,Titanium dioxide,02/07/2011,10/05/2015,,02/07/2011,10/05/2015,,1.0,Moisturizer,Facial Treatment Essence,179.0,4.1,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1.0,1.0,1.0,1.0,1.0
20236.0,SHADE SHIFTER EYESHADOW,29942.0,Love Letter,886.0,"Kendo Holdings, Inc.",KAT VON D,44.0,Makeup Products (non-permanent),48.0,Eye Shadow,656.0,13463-67-7,30677.0,Titanium dioxide,07/15/2013,07/15/2013,,07/15/2013,07/15/2013,,1.0,Moisturizer,Lock-It Makeup Setting Mist,26.0,4.1,Visit the Kat Von D boutique,0.0,0.0,0.0,0.0,0.0
22090.0,RADIANCE LIFT FOUNDATION BROAD SPECTRUM SUNSCREEN SPF 15,,,968.0,Space Brands Limited,EVE LOM,90.0,Skin Care Products ,102.0,Skin Moisturizers (making a cosmetic claim),656.0,13463-67-7,33619.0,Titanium dioxide,01/24/2014,01/24/2014,,01/24/2014,01/24/2014,,1.0,Cleanser,Cleanser,80.0,4.3,"Paraffinum Liquidum, PEG-30 Lanolin, Cetearyl Alcohol, Bis-Diglyceryl Polyacyladipate-2, Aluminum Stearate, Theobroma Cacao (Cocoa) Seed Butter, Peg-75 Lanolin, Phenoxyethanol, Eugenia Caryophyllus (Clove) Leaf Oil, Humulus Lupulus (Hop) Oil, Chamomilla Recutita (Matricaria) Flower Oil, Eucalyptus Globulus Leaf Oil, BHT.",1.0,1.0,1.0,1.0,1.0
