ProductName,CompanyName,BrandName,PrimaryCategory,SubCategory,ChemicalName
A&C synergy serum,"Physician's Care Alliance, LLC",PCA Skin,Skin Care Products ,Skin Astringent (making a cosmetic claim),Butylated hydroxyanisole
A&C synergy serum,"Physician's Care Alliance, LLC",PCA Skin,Skin Care Products ,Skin Bleaching (making a cosmetic claim) ,Butylated hydroxyanisole
Blood Orange and White Pepper Sugar Scrub,Bliss World LLC,Bliss,Skin Care Products ,Skin Cleansers,Butylated hydroxyanisole
Blood Orange and White Pepper Sugar Scrub,Bliss World LLC,Bliss,Bath Products,Body Washes and Soaps,Butylated hydroxyanisole
Alchemy Line Minimizing Masque,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),Butylated hydroxyanisole
Alchemy Line Minimizing Masque,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Facial Masks,Butylated hydroxyanisole
Alchemy Moisture Emulsion,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),Butylated hydroxyanisole
Alchemy Moisture Emulsion,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Skin Moisturizers (making a cosmetic claim),Butylated hydroxyanisole
Alchemy Cleansing Concentre,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),Butylated hydroxyanisole
Alchemy Cleansing Concentre,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Skin Cleansers,Butylated hydroxyanisole
Alchemy Premium Night Creme,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),Butylated hydroxyanisole
Alchemy Premium Night Creme,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Nighttime Skin Care,Butylated hydroxyanisole
Alchemy Premium Night Creme,Bliss World LLC,Laboratoire Remede,Skin Care Products ,Skin Moisturizers (making a cosmetic claim),Butylated hydroxyanisole
Elizabeth Arden Flawless Finish Radiant Moisture Makeup SPF 8,"Elizabeth Arden, Inc.",Elizabeth Arden,Makeup Products (non-permanent),Foundations and Bases,Butylated hydroxyanisole
Elizabeth Arden Flawless Finish Radiant Moisture Makeup SPF 8,"Elizabeth Arden, Inc.",Elizabeth Arden,Sun-Related Products,Sunscreen (making a cosmetic claim) ,Butylated hydroxyanisole
